"","ID","alterID","aRelationType","aAge","aGender","aOccupation","aFamilyStatus","aRelationLength","aStrongTieDiscuss","aStrongTieHelp","aF2f","aPhone","aEmail","aSNS","egoAlterDist_m"
"80","SR0620937",0,"Parent","50-54","Female","Full time","Married with children","More than 10 years",1,1,"Several times a day","4-7 times/week","4-11 times/year","1-3 times/week",0
"81","SR0620937",1,"Parent","Undefined","Male","Full time","Married with children","More than 10 years",0,1,"Several times a day","1-3 times/year","4-11 times/year","Never",0
"82","SR0620937",2,"School friend","20-24","Female","Student","Single","1-5 years",0,1,"4-7 times/week","1-2 times/month","Never","4-7 times/week",38706.2988026898
"83","SR0620937",3,"School friend","20-24","Female","Student","In a relationship","1-5 years",0,0,"4-7 times/week","1-2 times/month","Never","4-7 times/week",28192.7369143928
"84","SR0620937",4,"School friend","20-24","Female","Student","In a relationship","1-5 years",0,0,"4-7 times/week","Never","Never","3-4 times/month",39300.1299008262
"85","SR0620937",5,"School friend","20-24","Female","Student","Single","1-5 years",0,0,"4-7 times/week","Never","Never","3-4 times/month",29478.822459655
"86","SR0620937",6,"School friend","20-24","Female","Student","Single","1-5 years",0,0,"4-7 times/week","Never","Never","3-4 times/month",120430.356806278
"87","SR0620937",7,"Club/circle friend","20-24","Female","Student","Single","5-10 years",0,0,"4-11 times/year","Never","Never","1-2 times/month",10755.1309646346
"88","SR0620937",8,"Club/circle friend","20-24","Female","Student","In a relationship","5-10 years",0,0,"4-11 times/year","Never","Never","1-2 times/month",23343.1901356436
"89","SR0620937",10,"Club/circle friend","20-24","Female","Student","Single","5-10 years",0,0,"4-11 times/year","Never","Never","1-2 times/month",9025.6367278791
"90","SR0620937",11,"Club/circle friend","20-24","Female","Student","Other","5-10 years",0,0,"4-11 times/year","Never","Never","1-2 times/month",6062.84791412072
"91","SR0620937",12,"Club/circle friend","20-24","Female","Student","Single","5-10 years",0,0,"4-11 times/year","Never","Never","1-2 times/month",10631.667150412
"92","SR0620937",13,"Spouse/partner","20-24","Male","Student","In a relationship","Less than a year",0,0,"1-3 times/week","1-2 times/month","Never","Several times a day",42017.8698101785
"93","SR0620937",14,"Other relative","25-29","Female","Full time","Married, no children","More than 10 years",0,0,"4-11 times/year","Never","Never","1-3 times/year",21755.6732128959
"94","SR0620937",15,"Other relative","20-24","Female","Full time","Married, no children","More than 10 years",0,0,"4-11 times/year","Never","Never","1-3 times/year",21755.6732128959
"95","SR0620937",16,"Other relative","25-29","Female","Full time","In a relationship","More than 10 years",0,0,"4-11 times/year","Never","Never","1-3 times/year",48934.1058542306
"96","SR0620937",17,"School friend","20-24","Female","Full time","In a relationship","1-5 years",0,0,"1-3 times/week","Never","Never","1-2 times/month",21755.6732128959
"97","SR0620937",18,"School friend","20-24","Male","Full time","Single","1-5 years",0,0,"1-3 times/week","Never","Never","1-2 times/month",21755.6732128959
"98","SR0620937",19,"School friend","20-24","Male","Full time","In a relationship","1-5 years",0,0,"1-3 times/week","Never","Never","1-2 times/month",39300.1299008262
"99","SR0620937",20,"School friend","20-24","Male","Full time","In a relationship","1-5 years",0,0,"3-4 times/month","Never","Never","1-2 times/month",39300.1299008262
"100","SR0620937",21,"School friend","20-24","Female","Student","Single","1-5 years",0,0,"1-3 times/week","Never","Never","1-2 times/month",22011.1429882176
"101","SR0620937",22,"School friend","20-24","Female","Student","In a relationship","1-5 years",1,0,"3-4 times/month","Never","Never","1-2 times/month",23855.9445444395
"102","SR0620937",23,"School friend","20-24","Male","Student","Single","1-5 years",0,0,"3-4 times/month","Never","Never","Never",28171.3846684318
"103","SR0640906",0,"Parent","over 65","Female","Home maker","Married with children","More than 10 years",1,1,"Several times a day","1-3 times/week","Never","4-7 times/week",0
"104","SR0640906",1,"Grandparent","60-64","Female","Home maker","Married, no children","More than 10 years",1,1,"4-7 times/week","1-2 times/month","Never","1-3 times/week",9463.57791591303
"105","SR0640906",2,"School friend","20-24","Female","Student","Single","1-5 years",0,0,"4-7 times/week","4-11 times/year","Never","4-7 times/week",15755.7658628987
"106","SR0640906",3,"School friend","20-24","Female","Student","Single","1-5 years",1,0,"1-3 times/week","Never","Never","1-2 times/month",48790.2202187357
"107","SR0640906",4,"School friend","20-24","Female","Student","Single","1-5 years",1,0,"1-2 times/month","Never","Never","1-2 times/month",13483.6122582191
"108","SR0640906",5,"School friend","20-24","Female","Student","In a relationship","1-5 years",1,1,"1-2 times/month","Never","Never","1-2 times/month",27960.7972875231
"109","SR0640906",6,"Other friend","20-24","Male","Full time","In a relationship","1-5 years",1,0,"4-7 times/week","4-7 times/week","Never","Several times a day",15506.0355295483
"110","SR0640906",7,"School friend","20-24","Male","Student","In a relationship","1-5 years",0,0,"3-4 times/month","Never","Never","1-2 times/month",33143.2504141582
"111","SR0640906",8,"School friend","20-24","Female","Student","In a relationship","1-5 years",0,0,"1-2 times/month","Never","Never","4-11 times/year",12725.7297559422
"112","SR0640906",9,"Other friend","20-24","Female","Part time","In a relationship","5-10 years",0,0,"4-11 times/year","Never","Never","4-11 times/year",9463.57791591303
"113","SR0640906",10,"Other friend","20-24","Male","Full time","Single","5-10 years",0,0,"4-11 times/year","Never","Never","3-4 times/month",26196.658709522
"114","SR0640906",11,"Other friend","20-24","Female","Full time","Single","5-10 years",0,0,"4-11 times/year","Never","Never","3-4 times/month",51914.9182354614
"115","SR0640906",12,"Other friend","20-24","Male","Student","Single","5-10 years",0,0,"1-2 times/month","Never","Never","1-2 times/month",401729.179313901
"116","SR0640906",13,"Other friend","20-24","Male","Full time","Single","Less than a year",0,0,"1-2 times/month","Never","Never","3-4 times/month",9598.14812897253
"117","SR0640906",14,"School friend","20-24","Male","Student","In a relationship","More than 10 years",0,0,"4-11 times/year","Never","Never","1-2 times/month",647.589336570994
"118","SR0640906",15,"School friend","20-24","Male","Student","Single","More than 10 years",0,0,"4-11 times/year","Never","Never","4-11 times/year",647.589336570994
"119","SR0640906",16,"School friend","20-24","Female","Student","Single","More than 10 years",0,0,"4-11 times/year","Never","Never","4-11 times/year",647.589336570994
"120","SR0640906",17,"School friend","20-24","Female","Student","Single","More than 10 years",0,0,"4-11 times/year","Never","Never","4-11 times/year",647.589336570994
"121","SR0640906",18,"School friend","20-24","Female","Student","In a relationship","More than 10 years",0,0,"4-11 times/year","Never","Never","4-11 times/year",647.589336570994
"122","SR0640906",19,"School friend","20-24","Female","Student","In a relationship","More than 10 years",0,0,"4-11 times/year","Never","Never","4-11 times/year",647.589336570994
"123","SR0640906",20,"Other friend","20-24","Male","Full time","Single","5-10 years",0,0,"4-11 times/year","Never","Never","1-3 times/year",9463.57791591303
"124","SR0640906",21,"Other friend","20-24","Female","Full time","Single","5-10 years",0,0,"4-11 times/year","Never","Never","1-3 times/year",6715.23133214606
"125","SR0640906",22,"Other friend","20-24","Female","Full time","In a relationship","5-10 years",0,0,"4-11 times/year","Never","Never","4-11 times/year",9463.57791591303
"126","SR0640906",23,"Grandparent","60-64","Male","Full time","Married, no children","More than 10 years",0,0,"1-3 times/week","Never","Never","4-11 times/year",647.589336570994
"127","SR0640906",24,"Other friend","20-24","Male","Student","In a relationship","5-10 years",0,0,"4-11 times/year","Never","Never","4-11 times/year",9463.57791591303
"128","SR0640906",25,"School friend","20-24","Female","Student","In a relationship","1-5 years",1,1,"4-11 times/year","Never","Never","4-11 times/year",33143.2504141582
"129","SR0640906",26,"Grandparent","over 65","Female","Home maker","Married with children","More than 10 years",0,0,"Several times a day","3-4 times/month","Never","4-7 times/week",0
"130","SR0670951",0,"Work friend","40-44","Female","Part time","Divorced","More than 10 years",1,0,"1-2 times/month","Never","4-11 times/year","1-3 times/week",36457.3868851196
"131","SR0670951",1,"Neighbor","45-49","Female","Part time","Married with children","More than 10 years",1,0,"1-2 times/month","Never","4-11 times/year","4-11 times/year",2338.01109134328
"132","SR0670951",2,"Work friend","60-64","Female","Part time","Divorced","5-10 years",0,0,"1-3 times/week","Never","1-3 times/week","Never",10300.9034992912
"133","SR0750885",0,"Spouse/partner","25-29","Female","Full time","In a relationship","Less than a year",1,1,"Several times a day","Several times a day","Never","Several times a day",0
"134","SR0750885",1,"Parent","50-54","Male","Full time","Married with children","More than 10 years",1,1,"1-3 times/week","4-7 times/week","Never","Several times a day",23539.3007070019
"135","SR0750885",2,"Parent","50-54","Female","Part time","Married with children","More than 10 years",1,1,"1-3 times/week","4-7 times/week","Never","Several times a day",23539.3007070019
"136","SR0750885",3,"Sibling","25-29","Male","Full time","Single","More than 10 years",1,1,"1-3 times/week","4-7 times/week","Never","Several times a day",23539.3007070019
"137","SR0750885",4,"Work friend","25-29","Male","Full time","Single","1-5 years",1,1,"4-7 times/week","4-11 times/year","Never","4-7 times/week",10565.3295276616
"138","SR0750885",5,"Work friend","25-29","Male","Full time","Single","1-5 years",1,1,"4-7 times/week","4-11 times/year","Never","1-3 times/week",12996.4803329052
"139","SR0750885",6,"Work friend","25-29","Male","Full time","Single","1-5 years",0,0,"4-7 times/week","4-11 times/year","Never","4-7 times/week",5848.83488277942
"140","SR0870559",0,"Club/circle friend","35-39","Female","Full time","Married with children","1-5 years",1,0,"3-4 times/month","Never","Never","4-7 times/week",2966.0004354401
"141","SR0870559",1,"Club/circle friend","35-39","Female","Home maker","Married with children","1-5 years",0,0,"1-2 times/month","Never","Never","3-4 times/month",2132.38705526213
"142","SR0870559",2,"Club/circle friend","35-39","Female","Home maker","Married with children","Less than a year",1,0,"3-4 times/month","Never","Never","4-7 times/week",2132.38705526213
"143","SR0870559",3,"Neighbor","55-59","Female","Home maker","Married with children","1-5 years",1,0,"1-2 times/month","Never","Never","3-4 times/month",5128.26284247836
"144","SR0870559",4,"School friend","35-39","Female","Full time","Married with children","More than 10 years",1,0,"1-3 times/year","Never","Never","4-11 times/year",6083.31335884413
"145","SR0870559",5,"Parent","over 65","Female","Part time","Married with children","More than 10 years",1,1,"4-7 times/week","4-11 times/year","Never","4-7 times/week",2521.84528818544
"146","SR0870559",6,"Parent","over 65","Male","Unemployed/retired","Married with children","More than 10 years",0,0,"1-3 times/week","4-11 times/year","Never","4-7 times/week",2521.84528818544
"147","SR0940446",0,"Spouse/partner","35-39","Male","Full time","Married, no children","5-10 years",1,1,"Several times a day","3-4 times/month","1-2 times/month","Several times a day",0
"148","SR0940446",1,"Other friend","40-44","Female","Part time","Married with children","More than 10 years",1,0,"1-2 times/month","Never","Never","3-4 times/month",18462.4723717895
"149","SR0940446",2,"School friend","40-44","Female","Freelance","Married, no children","More than 10 years",1,1,"1-2 times/month","Never","Never","1-3 times/week",1125.02688629192
"150","SR0940446",3,"School friend","40-44","Female","Home maker","Married with children","More than 10 years",1,1,"4-11 times/year","Never","Never","3-4 times/month",5583.66627615845
"151","SR0940446",4,"Parent","Undefined","Female","Home maker","Married with children","More than 10 years",1,1,"1-3 times/week","3-4 times/month","1-3 times/year","Several times a day",14077.1318950624
"152","SR0940446",5,"Parent","Undefined","Male","Unemployed/retired","Married with children","More than 10 years",1,1,"1-3 times/week","3-4 times/month","1-2 times/month","Several times a day",14077.1318950624
"153","SR0940446",6,"In-law","30-34","Female","Home maker","Married with children","5-10 years",1,0,"1-2 times/month","1-2 times/month","Never","Several times a day",20852.9183075771
"154","SR0940446",8,"Club/circle friend","40-44","Female","Freelance","Married with children","More than 10 years",0,0,"1-2 times/month","Never","Never","1-2 times/month",14132.9209296444
"155","SR0940446",9,"Club/circle friend","40-44","Female","Full time","Single","More than 10 years",0,0,"1-2 times/month","Never","Never","3-4 times/month",5907.36661413186
"156","SR0940446",10,"Club/circle friend","over 65","Female","Other","Divorced","More than 10 years",0,0,"1-2 times/month","Never","Never","3-4 times/month",5907.36661413186
"157","SR0940446",11,"Club/circle friend","35-39","Male","Full time","Married with children","5-10 years",1,0,"4-11 times/year","4-11 times/year","Never","1-2 times/month",10321.7101851063
"158","SR0940446",12,"School friend","40-44","Female","Full time","Married with children","More than 10 years",1,0,"1-3 times/year","Never","Never","4-11 times/year",879.030459880026
"159","SR0940446",13,"School friend","40-44","Female","Home maker","Married with children","More than 10 years",1,0,"1-3 times/year","Never","Never","1-2 times/month",12915.8037531626
"160","SR0940446",14,"School friend","40-44","Female","Full time","Married with children","More than 10 years",0,0,"1-3 times/year","Never","Never","1-3 times/year",10321.7101851063
"161","SR0940446",15,"Other friend","35-39","Female","Freelance","Married with children","More than 10 years",0,0,"Never","Never","Never","1-2 times/month",10321.7101851063
"162","SR0940446",16,"Work friend","40-44","Female","Freelance","Single","More than 10 years",0,0,"4-11 times/year","Never","Never","1-2 times/month",14873.9731109559
"163","SR0940446",17,"Work friend","40-44","Female","Full time","Single","More than 10 years",0,0,"1-3 times/year","Never","Never","1-2 times/month",3684.21621498134
"164","SR0940446",18,"Other friend","30-34","Female","Full time","Single","1-5 years",0,0,"1-3 times/year","Never","Never","1-2 times/month",10407.8372320519
"165","SR0940446",19,"Work friend","30-34","Female","Full time","Married with children","5-10 years",0,0,"1-3 times/week","Never","Never","1-3 times/week",11316.963424751
"166","SR0940446",20,"Club/circle friend","35-39","Female","Other","Married, no children","5-10 years",0,0,"1-3 times/year","Never","Never","4-11 times/year",8790.36485549159
"167","SR0940446",21,"In-law","0-9","Female","Student","Single","1-5 years",0,0,"1-2 times/month","1-2 times/month","Never","1-3 times/week",20852.9183075771
"168","SR0940446",22,"In-law","0-9","Male","Student","Single","1-5 years",0,0,"1-2 times/month","1-2 times/month","Never","1-3 times/week",20852.9183075771
"169","SR0940446",23,"In-law","0-9","Female","Other","Single","1-5 years",0,0,"1-3 times/week","1-2 times/month","Never","1-3 times/week",20852.9183075771
"170","SR0940446",25,"Other friend","40-44","Female","Other","Other","More than 10 years",1,0,"1-3 times/year","Never","Never","4-11 times/year",12361.1709373072
"171","SR0940446",26,"School friend","40-44","Male","Full time","Divorced","More than 10 years",1,1,"1-3 times/year","Never","Never","4-11 times/year",8800.62587716746
"172","SR0940446",27,"School friend","40-44","Female","Other","Married with children","More than 10 years",1,0,"4-11 times/year","Never","Never","4-11 times/year",10374.1471901344
"173","SR0940446",30,"Other friend","45-49","Female","Home maker","Married with children","5-10 years",1,0,"1-3 times/year","Never","Never","4-11 times/year",4988.67598553695
"174","SR0940446",31,"Other friend","45-49","Female","Other","Single","1-5 years",1,0,"1-2 times/month","Never","1-2 times/month","Never",12998.6430549027
"175","SR0940446",32,"School friend","40-44","Female","Other","Married with children","More than 10 years",1,0,"Never","Never","Never","1-3 times/year",118092.850571444
"176","SR0940446",33,"Work friend","45-49","Male","Full time","Married with children","5-10 years",0,0,"4-11 times/year","Never","Never","1-2 times/month",10374.1471901344
"177","SR0940446",34,"Work friend","50-54","Female","Part time","Married with children","5-10 years",0,0,"1-3 times/year","Never","Never","1-3 times/year",26203.6027130048
"178","SR0940446",35,"Work friend","50-54","Female","Part time","Married with children","5-10 years",0,0,"1-3 times/year","Never","Never","1-3 times/year",26203.6027130048
"179","SR0940446",39,"Other relative","over 65","Female","Home maker","Married, no children","More than 10 years",0,0,"1-2 times/month","Never","3-4 times/month","Never",11032.1223341338
"180","SR0940446",40,"Other relative","over 65","Female","Other","Widowed","More than 10 years",1,0,"1-3 times/year","1-3 times/year","4-11 times/year","Never",511172.894172904
"181","SR0940446",41,"Other relative","55-59","Male","Full time","Married with children","More than 10 years",0,0,"1-3 times/year","Never","4-11 times/year","1-2 times/month",514308.913562471
"182","SR0940446",42,"Other relative","50-54","Male","Full time","Single","More than 10 years",0,0,"Never","Never","Never","1-2 times/month",16312.2813875053
"183","SR0940446",44,"Other relative","50-54","Female","Part time","Divorced","More than 10 years",0,0,"Never","Never","Never","1-2 times/month",666330.053299664
